indice, data, horario, GSR
"1","2018-09-13","20:39:00","379"
"2","2018-09-13","20:39:00","374"
"3","2018-09-13","20:39:00","373"
"4","2018-09-13","20:39:00","371"
"5","2018-09-13","20:39:00","371"
"6","2018-09-13","20:39:00","369"
"7","2018-09-13","20:39:00","370"
"8","2018-09-13","20:39:00","368"
"9","2018-09-13","20:39:00","368"
"10","2018-09-13","20:39:00","364"
"11","2018-09-13","20:39:00","366"
"12","2018-09-13","20:39:00","365"
"13","2018-09-13","20:39:00","364"
"14","2018-09-13","20:39:00","365"
"15","2018-09-13","20:39:00","364"
"16","2018-09-13","20:39:00","364"
"17","2018-09-13","20:39:00","364"
"18","2018-09-13","20:39:00","363"
"19","2018-09-13","20:39:00","362"
"20","2018-09-13","20:39:00","363"
"21","2018-09-13","20:39:00","362"
"22","2018-09-13","20:39:00","362"
"23","2018-09-13","20:39:00","361"
"24","2018-09-13","20:39:00","362"
"25","2018-09-13","20:39:00","362"
"26","2018-09-13","20:39:00","362"
"27","2018-09-13","20:39:00","361"
"28","2018-09-13","20:39:00","361"
"29","2018-09-13","20:39:00","361"
"30","2018-09-13","20:39:00","361"
"31","2018-09-13","20:39:00","361"
"32","2018-09-13","20:39:00","361"
"33","2018-09-13","20:39:00","360"
"34","2018-09-13","20:39:00","361"
"35","2018-09-13","20:39:00","360"
"36","2018-09-13","20:39:00","360"
"37","2018-09-13","20:39:00","360"
"38","2018-09-13","20:39:00","361"
"39","2018-09-13","20:39:00","360"
"40","2018-09-13","20:39:00","361"
"41","2018-09-13","20:39:00","360"
"42","2018-09-13","20:39:00","360"
"43","2018-09-13","20:39:00","360"
"44","2018-09-13","20:39:00","361"
"45","2018-09-13","20:39:00","361"
"46","2018-09-13","20:39:00","360"
"47","2018-09-13","20:39:00","361"
"48","2018-09-13","20:39:00","361"
"49","2018-09-13","20:39:00","362"
"50","2018-09-13","20:39:00","362"
"51","2018-09-13","20:39:00","361"
"52","2018-09-13","20:39:00","361"
"53","2018-09-13","20:39:00","361"
"54","2018-09-13","20:39:00","361"
"55","2018-09-13","20:39:00","362"
