indice,data,horario,POX
"1","2018-09-13","20:39:00","656"
"2","2018-09-13","20:39:00","709"
"3","2018-09-13","20:39:00","766"
"4","2018-09-13","20:39:00","810"
"5","2018-09-13","20:39:00","850"
"6","2018-09-13","20:39:00","868"
"7","2018-09-13","20:39:00","877"
"8","2018-09-13","20:39:00","867"
"9","2018-09-13","20:39:00","845"
"10","2018-09-13","20:39:00","767"
"11","2018-09-13","20:39:00","699"
"12","2018-09-13","20:39:00","652"
"13","2018-09-13","20:39:00","601"
"14","2018-09-13","20:39:00","568"
"15","2018-09-13","20:39:00","528"
"16","2018-09-13","20:39:00","498"
"17","2018-09-13","20:39:00","468"
"18","2018-09-13","20:39:00","447"
"19","2018-09-13","20:39:00","428"
"20","2018-09-13","20:39:00","407"
"21","2018-09-13","20:39:00","420"
"22","2018-09-13","20:39:00","431"
"23","2018-09-13","20:39:00","457"
"24","2018-09-13","20:39:00","480"
"25","2018-09-13","20:39:00","508"
"26","2018-09-13","20:39:00","532"
"27","2018-09-13","20:39:00","602"
"28","2018-09-13","20:39:00","601"
"29","2018-09-13","20:39:00","606"
"30","2018-09-13","20:39:00","586"
"31","2018-09-13","20:39:00","582"
"32","2018-09-13","20:39:00","578"
"33","2018-09-13","20:39:00","568"
"34","2018-09-13","20:39:00","562"
"35","2018-09-13","20:39:00","552"
"36","2018-09-13","20:39:00","545"
"37","2018-09-13","20:39:00","540"
"38","2018-09-13","20:39:00","535"
"39","2018-09-13","20:39:00","527"
"40","2018-09-13","20:39:00","510"
"41","2018-09-13","20:39:00","508"
"42","2018-09-13","20:39:00","502"
"43","2018-09-13","20:39:00","496"
"44","2018-09-13","20:39:00","490"
"45","2018-09-13","20:39:00","480"
"46","2018-09-13","20:39:00","478"
"47","2018-09-13","20:39:00","474"
"48","2018-09-13","20:39:00","469"
"49","2018-09-13","20:39:00","454"
"50","2018-09-13","20:39:00","436"
"51","2018-09-13","20:39:00","437"
"52","2018-09-13","20:39:00","439"
"53","2018-09-13","20:39:00","444"
"54","2018-09-13","20:39:00","442"
"55","2018-09-13","20:39:00","446"
"56","2018-09-13","20:39:00","472"
"57","2018-09-13","20:39:00","465"
"58","2018-09-13","20:39:00","468"
"59","2018-09-13","20:39:00","471"
"60","2018-09-13","20:39:00","544"
"61","2018-09-13","20:39:00","588"
"62","2018-09-13","20:39:00","656"
"63","2018-09-13","20:39:00","701"
"64","2018-09-13","20:39:00","745"
"65","2018-09-13","20:39:00","773"
"66","2018-09-13","20:39:00","794"
"67","2018-09-13","20:39:00","793"
"68","2018-09-13","20:39:00","775"
"69","2018-09-13","20:39:00","750"
"70","2018-09-13","20:39:00","687"
"71","2018-09-13","20:39:00","647"
"72","2018-09-13","20:39:00","607"
"73","2018-09-13","20:39:00","570"
"74","2018-09-13","20:39:00","522"
"75","2018-09-13","20:39:00","485"
"76","2018-09-13","20:39:00","453"
